CVEDIS,ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,NOMBRE_DISTRITO_FEDERAL,LN_HOMBRES,LN_MUJERES,LN_NO_BINARIO,LN,ID_PERSON_GOBERNANTES,NOMBRE_DIPUTADO_ELECTO_2024,PARTIDO_2024,SKIN_TONE,DOMINANT,PHOTO_URL,TONO_PIEL_KMEDIAS
1104,11,GUANAJUATO,4,GUANAJUATO,138479,154445,1,292925,4713,Francisco Javier Estrada Domínguez,MORENA,#DEB6AD,,,#cea488
1105,11,GUANAJUATO,5,LEON,148984,158539,0,307523,779,Éctor Jaime Ramírez Barba,PAN, ,,,#b38574
1106,11,GUANAJUATO,6,LEON,145685,154939,1,300625,4699,Laura Cristina Márquez Alcalá,PAN,#917153,,,#e1a8ab
1107,11,GUANAJUATO,7,SAN FRANCISCO DEL RINCON,131776,142278,0,274054,4679,Diana Estefanía Gutiérrez Valtierra,PAN, ,,,#dfad9e
1108,11,GUANAJUATO,8,SALAMANCA,163224,180761,0,343985,4717,Ernesto Alejandro Prieto Gallardo,MORENA,#B29679,,,#c49f8e
1109,11,GUANAJUATO,9,IRAPUATO,149187,162535,0,311722,4681,Diego Ángel Rodríguez Barroso,PAN, ,,,#e0cbc6
1110,11,GUANAJUATO,10,URIANGATO,178069,195622,0,373691,4706,Alejandro Calderón Díaz,MORENA, ,,,#c9b1ad
1111,11,GUANAJUATO,11,LEON,159539,170991,0,330530,4697,Miguel Ángel Salim Alle,PAN,#B29679,,,#eacbc4
1112,11,GUANAJUATO,12,CELAYA,162324,180659,0,342983,4708,María Magdalena Rosales Cruz,PVEM,#B29679,,,#b28c76
1113,11,GUANAJUATO,13,VALLE DE SANTIAGO,169289,187971,0,357260,4709,Lucero Higareda Segura,MORENA, ,,,#f8b795
1114,11,GUANAJUATO,14,ACAMBARO,154576,168544,0,323120,4710,Juana Acosta Trujillo,PVEM,#DEB6AD,,,#c69b90
1115,11,GUANAJUATO,15,IRAPUATO,145640,160457,0,306097,3131,José Javier Aguirre Gallardo,PT,0,,,#a17161
1201,12,GUERRERO,1,PUNGARABATO,174518,186722,0,361240,4734,Celeste Mora Eguiluz,MORENA, ,,,#de9179
1202,12,GUERRERO,2,ACAPULCO DE JUAREZ,136511,152201,0,288712,4735,Yoloczin Lizbeth Domínguez Serna,PT, ,,,#d8a690
1203,12,GUERRERO,3,ZIHUATANEJO DE AZUETA,159481,167781,0,327262,4736,Ma. Del Carmen Cabrera Lagunas,PVEM,#EBD0CE,,,#daa58d
1204,12,GUERRERO,4,ACAPULCO DE JUAREZ,145605,167341,0,312946,4737,Javier Taja Ramírez,MORENA, ,,,#dca47f
1205,12,GUERRERO,5,TLAPA DE COMONFORT,147240,172932,0,320172,4738,Gerardo Olivares Mejía,PVEM, ,,,#b68b86
1206,12,GUERRERO,6,CHILAPA DE ALVAREZ,165451,187803,0,353254,6742,María Del Carmen Nava García,MORENA, ,,,#cc9189
1207,12,GUERRERO,7,CHILPANCINGO DE LOS BRAVO,155012,178182,0,333194,919,Carlos Sánchez Barrios,PVEM, ,,,#b77e6e
1208,12,GUERRERO,8,OMETEPEC,167295,182773,0,350068,4739,Marco Antonio De La Mora Torreblanca,MORENA, ,,,#c08f7b
1301,13,HIDALGO,1,HUEJUTLA DE REYES,160290,177675,0,337965,4746,Daniel Andrade Zurutuza,MORENA,#DEB6AD,,,#cd9a81
1302,13,HIDALGO,2,IXMIQUILPAN,171024,191179,0,362203,968,Ciria Yamile Salomón Durán,MORENA, ,,,#c49f92
1303,13,HIDALGO,3,ACTOPAN,155675,177775,0,333450,4747,Tatiana Tonantzin P. Angeles Moreno,MORENA, ,,,#d1a295
1304,13,HIDALGO,4,TULANCINGO DE BRAVO,151289,176215,0,327504,4748,Alma Lidia De La Vega Sánchez,MORENA, ,,,#ce9c88
1305,13,HIDALGO,5,TULA DE ALLENDE,171536,186964,0,358500,4749,Astrit Viridiana Cornejo Gómez,MORENA,#B29679,,,#d39f8d
1306,13,HIDALGO,6,PACHUCA DE SOTO,160592,183197,1,343790,4750,Ricardo Crespo Arroyo,MORENA,#B29679,,,#d8a190
1307,13,HIDALGO,7,TEPEAPULCO,155072,168908,0,323980,4751,Mirna María De La Luz Rubio Sánchez,MORENA, ,,,#b38d7c
1401,14,JALISCO,1,TEQUILA,163263,170842,0,334105,4811,Francisco Javier Guizar Macias,PT,#DEB6AD,,,#cfae9d
1402,14,JALISCO,2,LAGOS DE MORENO,152002,164156,2,316160,4799,Tecutli José Guadalupe Gómez Villalobos,MC,#917153,,,#9a6b5f
1403,14,JALISCO,3,TEPATITLAN DE MORELOS,173426,181369,0,354795,4783,José Mario Iñiguez Franco,PAN,#DEB6AD,,,#b98376
1404,14,JALISCO,4,ZAPOPAN,173136,184885,4,358025,4820,Raúl Álvarez Villaseñor,MORENA,#EBD0CE,,,#cea49a
1405,14,JALISCO,5,PUERTO VALLARTA,166849,164177,2,331028,1086,Bruno Blancas Mercado,MORENA,#DEB6AD,,,#d5b3a6
1406,14,JALISCO,6,ZAPOPAN,152586,160571,0,313157,4821,Beatriz Carranza Gómez,MORENA, ,,,#e3a44a
1407,14,JALISCO,7,TONALA,137643,143832,1,281476,4822,Claudia García Hernández,MORENA,#DEB6AD,,,#c68d71
1408,14,JALISCO,8,GUADALAJARA,188442,206565,5,395012,4786,Paola Milagros Espinosa Sánchez,PAN, ,,,#bfada7
1409,14,JALISCO,9,GUADALAJARA,174030,187841,2,361873,4824,Favio Castellanos Polanco,PVEM,#785E4B,,,#e0ab9a
1410,14,JALISCO,10,ZAPOPAN,172411,190972,3,363386,2884,Omar Antonio Borboa Becerra,PAN,#DBBE95,,,#d3ac9e
1411,14,JALISCO,11,GUADALAJARA,185243,201002,1,386246,4813,Merilyn Gómez Pozos,MORENA,#917153,,,#d6a796
1412,14,JALISCO,12,TLAJOMULCO DE ZUÐIGA,152419,160574,0,312993,4814,Sandra Beatriz González Pérez,MORENA, ,,,#d09f85
1413,14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,155075,164891,1,319967,1030,José Luis Sánchez González,MORENA, ,,,#b78570
1414,14,JALISCO,14,TLAJOMULCO DE ZUÐIGA,125019,130381,1,255401,4815,Marcela Michel López,MORENA,#B29679,,,#cda18f
1415,14,JALISCO,15,LA BARCA,166196,177396,0,343592,4776,Alonso De Jesús Vázquez Jiménez,PAN,#B29679,,,#b58b87
1416,14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,160408,168342,1,328751,2920,Alberto Maldonado Chavarín,MORENA,#B29679,,,#c99aa3
1417,14,JALISCO,17,JOCOTEPEC,152002,161136,0,313138,1096,Antonio De Jesús Ramírez Ramos,PVEM,#917153,,,#e3c5ac
1418,14,JALISCO,18,AUTLAN DE NAVARRO,171683,177672,1,349356,4817,Haidyd Arreola López,PT,#917153,,,#ca8e76
1419,14,JALISCO,19,ZAPOTLAN EL GRANDE,171152,181156,1,352309,4818,Clara Cárdenas Galván,MORENA, ,,,#c79276
1420,14,JALISCO,20,TONALA,126047,131172,0,257219,1092,Katia Alejandra Castillo Lozano,PVEM,#B29679,,,#c8987c
1501,15,MEXICO,1,JILOTEPEC,157603,176409,0,334012,4914,María Luisa Mendoza Mondragon,MORENA,#DEB6AD,,,#e59e88
1502,15,MEXICO,2,TULTEPEC,137093,150564,0,287657,1311,Dionicia Vázquez García,PT,#DEB6AD,,,#c1967c
1503,15,MEXICO,3,ATLACOMULCO,149085,170270,0,319355,4928,Diana Castillo Gabino,PVEM, ,,,#a88b65
1504,15,MEXICO,4,NICOLAS ROMERO,149587,164247,0,313834,4932,Melva Carrasco Godinez,MORENA, ,,,#ac8070
1505,15,MEXICO,5,TEOTIHUACAN,138980,153235,0,292215,4934,Patricia Galindo Alarcon,MORENA, ,,,#dc9e9f
1506,15,MEXICO,6,COACALCO DE BERRIOZABAL,167172,184581,0,351753,1331,Julieta Villalpando Riquelme,MORENA, ,,,#d0aa92
1507,15,MEXICO,7,CUAUTITLAN IZCALLI,168129,186661,0,354790,1308,Xochitl Nashielly Zagal Ramírez,MORENA,#EBD0CE,,,#ce9d7f
1508,15,MEXICO,8,TULTITLAN,165670,180037,0,345707,4935,Anay Beltran Reyes,MORENA, ,,,#dcab91
1509,15,MEXICO,9,SAN FELIPE DEL PROGRESO,151462,169610,0,321072,4936,Iván Marín Rangel,MORENA, ,,,#bd877a
1510,15,MEXICO,10,ECATEPEC DE MORELOS,144817,158279,0,303096,3233,Luis Fernando Vilchis Contreras,MORENA, ,,,#e1a291
1511,15,MEXICO,11,ECATEPEC DE MORELOS,160377,173956,1,334334,4856,Xochitl Teresa Arzola Vargas,MORENA,#917153,,,#835950
1512,15,MEXICO,12,IXTAPALUCA,136695,149757,0,286452,1420,Armando Corona Arvizu,PVEM,#DEB6AD,,,#bf8361
1513,15,MEXICO,13,ECATEPEC DE MORELOS,178565,198655,0,377220,4857,Alma Monserrat Córdoba Navarrete,MORENA, ,,,#b07860
1514,15,MEXICO,14,ACOLMAN,125786,140442,0,266228,4915,Claudia Leticia Garfias Alcantara,PVEM,#B29679,,,#ca9181
1515,15,MEXICO,15,ATIZAPAN DE ZARAGOZA,174022,190390,0,364412,4916,Josefina Anaya Martínez,MORENA,#DEB6AD,,,#cf977b
1516,15,MEXICO,16,ECATEPEC DE MORELOS,155349,165454,0,320803,4917,Emilio Manzanilla Téllez,PVEM,#B29679,,,#ba8472
1517,15,MEXICO,17,ECATEPEC DE MORELOS,131337,144631,0,275968,4858,Juan Hugo De La Rosa García,MORENA,#785E4B,,,#cd9f9d
