CVEDIS,ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,NOMBRE_DISTRITO_FEDERAL,LN_HOMBRES,LN_MUJERES,LN_NO_BINARIO,LN,ID_PERSON_GOBERNANTES,NOMBRE_DIPUTADO_ELECTO_2024,PARTIDO_2024,SKIN_TONE,PHOTO_URL
0702,7,CHIAPAS,2,BOCHIL,130837,139987,0,270824,3373,Karina Margarita Del Río Zenteno,PT,#B29679,0702__KARINA_MARGARITA_DEL_RIO_ZENTENO__SIGAMOS_HACIENDO_HISTORIA.png
0703,7,CHIAPAS,3,OCOSINGO,139628,149280,0,288908,372,Alfredo Vazquez Vazquez,PT,#DEB6AD,0703__ALFREDO_VAZQUEZ_VAZQUEZ__SIGAMOS_HACIENDO_HISTORIA.jpg
0704,7,CHIAPAS,4,PICHUCALCO,137194,145129,0,282323,373,Joaquín Zebadúa Alva,MORENA,#B29679,0704__JOAQUÍN_ZEBADÚA_ALVA__SIGAMOS_HACIENDO_HISTORIA.jpg
0705,7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,144293,173521,0,317814,4554,Emilio Ramón Ramírez Guzmán,PVEM,#B29679,0705__EMILIO_RAMON_RAMIREZ_GUZMAN__SIGAMOS_HACIENDO_HISTORIA.png
0706,7,CHIAPAS,6,TUXTLA GUTIERREZ,153301,166515,0,319816,4555,Flor De María Esponda Torres,MORENA,#917153,0706__FLOR_DE_MARÍA_ESPONDA_TORRES__SIGAMOS_HACIENDO_HISTORIA.jpg
0707,7,CHIAPAS,7,TONALA,162764,171943,0,334707,4533,Azucena Arreola Trinidad,MORENA,#917153,0707__AZUCENA_ARREOLA_TRINIDAD__Morena.jpg
0708,7,CHIAPAS,8,COMITAN DE DOMINGUEZ,143603,157724,0,301327,4556,Roberto Armando Albores Gleason,MORENA,#B29679,0708__ROBERTO_ARMANDO_ALBORES_GLEASON__SIGAMOS_HACIENDO_HISTORIA.png
0709,7,CHIAPAS,9,TUXTLA GUTIERREZ,158678,181058,0,339736,4557,Guillermo Rafael Santiago Rodríguez,MORENA,#785E4B,0709__GUILLERMO_RAFAEL_SANTIAGO_RODRIGUEZ__SIGAMOS_HACIENDO_HISTORIA.png
0710,7,CHIAPAS,10,VILLAFLORES,158556,167033,0,325589,4552,Deliamaria González Flandez,PT,#917153,0710__DELIAMARIA_GONZALEZ_FLANDEZ__SIGAMOS_HACIENDO_HISTORIA.png
0711,7,CHIAPAS,11,LAS MARGARITAS,141316,151593,0,292909,4553,Rosario Del Carmen Moreno Villatoro,PVEM,#B29679,0711__ROSARIO_DEL_CARMEN_MORENO_VILLATORO__SIGAMOS_HACIENDO_HISTORIA.png
0712,7,CHIAPAS,12,TAPACHULA,148838,164617,0,313455,4532,Rosa Irene Urbina Castañeda,MORENA,#917153,0712__ROSA_IRENE_URBINA_CASTANEDA__MORENA.png
0713,7,CHIAPAS,13,HUEHUETAN,158950,166326,0,325276,3379,Jorge Luis Villatoro Osorio,MORENA,#917153,0713__JORGE_LUIS_VILLATORO_OSORIO__SIGAMOS_HACIENDO_HISTORIA.jpg
0801,8,CHIHUAHUA,1,JUAREZ,152026,153975,1,306002,454,Daniel Murguía Lardizábal,MORENA,#B29679,0801__DANIEL_MURGUIA_LARDIZABAL__SIGAMOS_HACIENDO_HISTORIA.png
0802,8,CHIHUAHUA,2,JUAREZ,148492,144194,0,292686,490,Teresita De Jesús Vargas Meraz,PVEM,#785E4B,0802__TERESITA_DE_JESUS_VARGAS_MERAZ__SIGAMOS_HACIENDO_HISTORIA.png
0803,8,CHIHUAHUA,3,JUAREZ,178883,177304,0,356187,497,Lilia Aguilar Gil,MORENA,#DEB6AD,0803__LILIA_AGUILAR_GIL__SIGAMOS_HACIENDO_HISTORIA.png
0804,8,CHIHUAHUA,4,JUAREZ,166331,179626,0,345957,4575,Alejandro Pérez Cuéllar,MORENA,#917153,0804__ALEJANDRO_PÉREZ_CUÉLLAR__SIGAMOS_HACIENDO_HISTORIA.jpg
0805,8,CHIHUAHUA,5,DELICIAS,175505,180943,2,356450,4562,Juan Antonio Melendez Ortega,PAN,#B29679,0805__JUAN_ANTONIO_MELENDEZ_ORTEGA__FUERZA_Y_CORAZÓN_POR_MÉXICO.jpg
0806,8,CHIHUAHUA,6,CHIHUAHUA,177936,194085,3,372024,4563,María Angélica Granados Trespalacios,PAN,#B29679,0806__MARIA_ANGELICA_GRANADOS_TRESPALACIOS__FUERZA_Y_CORAZON_POR_MEXICO.png
0807,8,CHIHUAHUA,7,CUAUHTEMOC,181747,185064,1,366812,4578,Jesús Roberto Corral Ordoñez,PVEM,#917153,0807__JESUS_ROBERTO_CORRAL_ORDONEZ__SIGAMOS_HACIENDO_HISTORIA.png
0808,8,CHIHUAHUA,8,CHIHUAHUA,187002,197402,0,384404,4564,César Alejandro Domínguez Domínguez,PRI,#B29679,0808__CESAR_ALEJANDRO_DOMINGUEZ_DOMINGUEZ__FUERZA_Y_CORAZON_POR_MEXICO.png
0809,8,CHIHUAHUA,9,HIDALGO DEL PARRAL,147400,157695,0,305095,4565,Noel Chávez Velázquez,PRI,#B29679,0809__NOEL_CHAVEZ_VELAZQUEZ__FUERZA_Y_CORAZON_POR_MEXICO.png
0901,9,CIUDAD DE MEXICO,1,GUSTAVO A. MADERO,164450,182006,1,346457,4616,César Arnulfo Cravioto Romero,PVEM,#917153,0901__CESAR_ARNULFO_CRAVIOTO_ROMERO__SIGAMOS_HACIENDO_HISTORIA.png
0902,9,CIUDAD DE MEXICO,2,GUSTAVO A. MADERO,191795,219835,3,411633,4627,José Alberto Benavides Castañeda,MORENA,#B29679,0902__JOSE_ALBERTO_BENAVIDES_CASTANEDA__SIGAMOS_HACIENDO_HISTORIA.png
0903,9,CIUDAD DE MEXICO,3,AZCAPOTZALCO,179495,204973,1,384469,661,Gabriela Georgina Jiménez Godoy,MORENA,#917153,0903__GABRIELA_GEORGINA_JIMÉNEZ_GODOY__SIGAMOS_HACIENDO_HISTORIA.jpg
0904,9,CIUDAD DE MEXICO,4,IZTAPALAPA,143502,158689,0,302191,156,María De Los Dolores Padierna Luna,PVEM,#B29679,0904__MARIA_DE_LOS_DOLORES_PADIERNA_LUNA__SIGAMOS_HACIENDO_HISTORIA.png
0905,9,CIUDAD DE MEXICO,5,TLALPAN,164768,185263,2,350033,4631,Carlos Alberto Ulloa Pérez,MORENA,#917153,0905__CARLOS_ALBERTO_ULLOA_PÉREZ__SIGAMOS_HACIENDO_HISTORIA.jpg
0906,9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS,162466,184764,0,347230,4632,Daniel Campos Plancarte,MORENA,#917153,0906__DANIEL_CAMPOS_PLANCARTE__SIGAMOS_HACIENDO_HISTORIA.png
0907,9,CIUDAD DE MEXICO,7,GUSTAVO A. MADERO,194001,219260,4,413265,4633,Juan Guillermo Rendón Gómez,MORENA,#DEB6AD,0907__JUAN_GUILLERMO_RENDON_GOMEZ__SIGAMOS_HACIENDO_HISTORIA.png
0908,9,CIUDAD DE MEXICO,8,COYOACAN,176852,203474,3,380329,4634,Ana María Lomelí Robles,MORENA,#B29679,0908__ANA_MARIA_LOMELI_ROBLES__SIGAMOS_HACIENDO_HISTORIA.png
0909,9,CIUDAD DE MEXICO,9,TLAHUAC,151768,167156,1,318925,4635,Rigoberto Salgado Vázquez,MORENA,#B29679,0909__RIGOBERTO_SALGADO_VAZQUEZ__SIGAMOS_HACIENDO_HISTORIA.png
0910,9,CIUDAD DE MEXICO,10,MIGUEL HIDALGO,154532,176194,1,330727,645,Margarita Ester Zavala Gómez Del Campo,PAN,#B29679,0910__MARGARITA_ESTER_ZAVALA_GOMEZ_DEL_CAMPO__FUERZA_Y_CORAZON_POR_MEXICO.png
0911,9,CIUDAD DE MEXICO,11,VENUSTIANO CARRANZA,189889,215036,1,404926,4618,Elena Edith Segura Trejo,MORENA,#DEB6AD,0911__ELENA_EDITH_SEGURA_TREJO__SIGAMOS_HACIENDO_HISTORIA.png
0912,9,CIUDAD DE MEXICO,12,CUAUHTEMOC,184142,196133,3,380278,4582,Mónica Elizabeth Sandoval Hernández,PRD,#917153,0912__MONICA_ELIZABETH_SANDOVAL_HERNANDEZ__FUERZA_Y_CORAZON_POR_MEXICO.png
0913,9,CIUDAD DE MEXICO,13,IZTACALCO,171428,192922,3,364353,4620,Francisco Javier Sánchez Cervantes,PT, ,
0914,9,CIUDAD DE MEXICO,14,TLALPAN,169806,193390,2,363198,4621,Carlos Hernández Mirón,MORENA,#785E4B,0914__CARLOS_HERNÁNDEZ_MIRÓN__SIGAMOS_HACIENDO_HISTORIA.jpg
0915,9,CIUDAD DE MEXICO,15,BENITO JUAREZ,177340,208840,2,386182,4585,Federico Döring Casar,PAN,#DEB6AD,0915__FEDERICO_DORING_CASAR__FUERZA_Y_CORAZON_POR_MEXICO.png
0916,9,CIUDAD DE MEXICO,16,ALVARO OBREGON,152777,170567,0,323344,4623,Estela Carina Piceno Navarro,PT,#DEB6AD,0916__ESTELA_CARINA_PICENO_NAVARRO__SIGAMOS_HACIENDO_HISTORIA.jpg
0917,9,CIUDAD DE MEXICO,17,ALVARO OBREGON,167339,186615,3,353957,4624,Carlos Arturo Madrazo Silva,MORENA,#B29679,0917__CARLOS_ARTURO_MADRAZO_SILVA__SIGAMOS_HACIENDO_HISTORIA.jpg
0918,9,CIUDAD DE MEXICO,18,IZTAPALAPA,176437,197017,1,373455,4625,Gabriel García Hernández,PVEM,#917153,0918__GABRIEL_GARCIA_HERNANDEZ__SIGAMOS_HACIENDO_HISTORIA.png
0919,9,CIUDAD DE MEXICO,19,COYOACAN,154988,179130,1,334119,659,Héctor Saúl Téllez Hernández,PAN,#DEB6AD,0919__HECTOR_SAUL_TELLEZ_HERNANDEZ__FUERZA_Y_CORAZON_POR_MEXICO.png
0920,9,CIUDAD DE MEXICO,20,IZTAPALAPA,190051,215215,0,405266,670,Ana Karina Rojo Pimentel,PVEM,#917153,0920__ANA_KARINA_ROJO_PIMENTEL__SIGAMOS_HACIENDO_HISTORIA.png
0921,9,CIUDAD DE MEXICO,21,XOCHIMILCO,168461,186072,0,354533,238,José Carlos Acosta Ruiz,MORENA,#917153,0921__JOSE_CARLOS_ACOSTA_RUIZ__SIGAMOS_HACIENDO_HISTORIA.png
0922,9,CIUDAD DE MEXICO,22,IZTAPALAPA,144637,159561,0,304198,4629,Marisela Zúñiga Cerón,PT,#917153,0922__MARISELA_ZÚÑIGA_CERÓN__SIGAMOS_HACIENDO_HISTORIA.jpg
1001,10,DURANGO,1,DURANGO,167553,174157,0,341710,4670,Martha Olivia García Vidaña,PVEM,#B29679,1001__MARTHA_OLIVIA_GARCIA_VIDANA__SIGAMOS_HACIENDO_HISTORIA.png
1002,10,DURANGO,2,GOMEZ PALACIO,168888,174085,0,342973,4671,Betzabé Martínez Arango,PT,#B29679,1002__BETZABÉ_MARTÍNEZ_ARANGO__SIGAMOS_HACIENDO_HISTORIA.jpg
1003,10,DURANGO,3,LERDO,176395,181488,0,357883,4672,Gerardo Villarreal Solis,MORENA,#917153,1003__GERARDO_VILLARREAL_SOLIS__SIGAMOS_HACIENDO_HISTORIA.png
1004,10,DURANGO,4,DURANGO,169162,187039,0,356201,4665,Silvia Patricia Jiménez Delgado,PAN,#DEB6AD,1004__SILVIA_PATRICIA_JIMENEZ_DELGADO__FUERZA_Y_CORAZON_POR_MEXICO.png
